  -1.4050000e+00  -1.0925970e-05  -1.2812230e-05
  -1.3980000e+00  -1.0956360e-05  -1.2785022e-05
  -1.3910000e+00  -1.0976570e-05  -1.2757814e-05
  -1.3840000e+00  -1.0966520e-05  -1.2730606e-05
  -1.3770000e+00  -1.0915800e-05  -1.2703398e-05
  -1.3700000e+00  -1.0763840e-05  -1.2676190e-05
  -1.3630000e+00  -1.0713130e-05  -1.2648982e-05
  -1.3560000e+00  -1.0784070e-05  -1.2621774e-05
  -1.3490000e+00  -1.0733410e-05  -1.2594566e-05
  -1.3420000e+00  -1.0632030e-05  -1.2567358e-05
  -1.3350000e+00  -1.0662400e-05  -1.2540150e-05
  -1.3280000e+00  -1.0591450e-05  -1.2512942e-05
  -1.3210000e+00  -1.0632040e-05  -1.2485734e-05
  -1.3140000e+00  -1.0632010e-05  -1.2458526e-05
  -1.3070000e+00  -1.0490110e-05  -1.2431318e-05
  -1.3000000e+00  -1.0469830e-05  -1.2404109e-05
  -1.2930000e+00  -1.0449610e-05  -1.2376901e-05
  -1.2860000e+00  -1.0358350e-05  -1.2349693e-05
  -1.2790000e+00  -1.0368470e-05  -1.2322485e-05
  -1.2720000e+00  -1.0267150e-05  -1.2295276e-05
  -1.2650000e+00  -1.0358370e-05  -1.2268068e-05
  -1.2580000e+00  -1.0206380e-05  -1.2240860e-05
  -1.2510000e+00  -1.0257000e-05  -1.2213651e-05
  -1.2440000e+00  -1.0216490e-05  -1.2186443e-05
  -1.2370000e+00  -1.0186040e-05  -1.2159234e-05
  -1.2300000e+00  -1.0074580e-05  -1.2132025e-05
  -1.2230000e+00  -1.0135360e-05  -1.2104817e-05
  -1.2160000e+00  -1.0115110e-05  -1.2077608e-05
  -1.2090000e+00  -1.0013800e-05  -1.2050399e-05
  -1.2020000e+00  -9.9732200e-06  -1.2023190e-05
  -1.1950000e+00  -1.0013700e-05  -1.1995981e-05
  -1.1880000e+00  -1.0064400e-05  -1.1968772e-05
  -1.1810000e+00  -9.9529630e-06  -1.1941563e-05
  -1.1740000e+00  -9.9022500e-06  -1.1914354e-05
  -1.1670000e+00  -9.9022210e-06  -1.1887144e-05
  -1.1600000e+00  -9.8616780e-06  -1.1859935e-05
  -1.1530000e+00  -9.8212290e-06  -1.1832725e-05
  -1.1460000e+00  -9.8414280e-06  -1.1805515e-05
  -1.1390000e+00  -9.8211290e-06  -1.1778305e-05
  -1.1320000e+00  -9.7705080e-06  -1.1751095e-05
  -1.1250000e+00  -9.7401230e-06  -1.1723885e-05
  -1.1180000e+00  -9.6590170e-06  -1.1696674e-05
  -1.1110000e+00  -9.8008440e-06  -1.1669463e-05
  -1.1040000e+00  -9.6995870e-06  -1.1642252e-05
  -1.0970000e+00  -9.5880950e-06  -1.1615041e-05
  -1.0900000e+00  -9.5981960e-06  -1.1587829e-05
  -1.0830000e+00  -9.6185010e-06  -1.1560618e-05
  -1.0760000e+00  -9.5678230e-06  -1.1533405e-05
  -1.0690000e+00  -9.5576740e-06  -1.1506193e-05
  -1.0620000e+00  -9.6083100e-06  -1.1478980e-05
  -1.0550000e+00  -9.5070100e-06  -1.1451767e-05
  -1.0480000e+00  -9.4562770e-06  -1.1424553e-05
  -1.0410000e+00  -9.3650630e-06  -1.1397339e-05
  -1.0340000e+00  -9.4663920e-06  -1.1370124e-05
  -1.0270000e+00  -9.4461270e-06  -1.1342909e-05
  -1.0200000e+00  -9.4360120e-06  -1.1315693e-05
  -1.0130000e+00  -9.3650910e-06  -1.1288476e-05
  -1.0060000e+00  -9.3448400e-06  -1.1261259e-05
  -9.9900000e-01  -9.3548800e-06  -1.1234041e-05
  -9.9200000e-01  -9.3346500e-06  -1.1206823e-05
  -9.8500000e-01  -9.3144340e-06  -1.1179603e-05
  -9.7800000e-01  -9.2130430e-06  -1.1152382e-05
  -9.7100000e-01  -9.1623990e-06  -1.1125161e-05
  -9.6400000e-01  -9.1623450e-06  -1.1097938e-05
  -9.5700000e-01  -9.1522160e-06  -1.1070714e-05
  -9.5000000e-01  -9.2129760e-06  -1.1043489e-05
  -9.4300000e-01  -9.1826700e-06  -1.1016263e-05
  -9.3600000e-01  -9.1218360e-06  -1.0989035e-05
  -9.2900000e-01  -9.1116670e-06  -1.0961806e-05
  -9.2200000e-01  -9.0711260e-06  -1.0934574e-05
  -9.1500000e-01  -8.9799180e-06  -1.0907341e-05
  -9.0800000e-01  -8.9495040e-06  -1.0880106e-05
  -9.0100000e-01  -8.9596720e-06  -1.0852869e-05
  -8.9400000e-01  -8.9900800e-06  -1.0825629e-05
  -8.8700000e-01  -9.0001430e-06  -1.0798387e-05
  -8.8000000e-01  -8.9900400e-06  -1.0771143e-05
  -8.7300000e-01  -8.8481680e-06  -1.0743895e-05
  -8.6600000e-01  -8.9292790e-06  -1.0716644e-05
  -8.5900000e-01  -8.8177930e-06  -1.0689390e-05
  -8.5200000e-01  -8.8481620e-06  -1.0662132e-05
  -8.4500000e-01  -8.8177420e-06  -1.0634870e-05
  -8.3800000e-01  -8.7265660e-06  -1.0607604e-05
  -8.3100000e-01  -8.8481290e-06  -1.0580333e-05
  -8.2400000e-01  -8.8481490e-06  -1.0553057e-05
  -8.1700000e-01  -8.8380190e-06  -1.0525776e-05
  -8.1000000e-01  -8.6960950e-06  -1.0498489e-05
  -8.0300000e-01  -8.7468310e-06  -1.0471196e-05
  -7.9600000e-01  -8.6758630e-06  -1.0443896e-05
  -7.8900000e-01  -8.6961460e-06  -1.0416588e-05
  -7.8200000e-01  -8.6657080e-06  -1.0389273e-05
